诸,654
念,654
圈,652
平,650
摸,649
母,648
雨,646
赵,645
必,645
文,644
皆,644
棵,643
吹,641
师,641
冲,641
古,641
弱,639
厚,638
食,637
社,636
氏,632
摇,630
修,630
英,630
粒,629
骂,628
稍,626
虫,624
静,622
针,622
关,621
娘,620
城,620
今,619
敢,615
举,615
赶,611
宽,610
油,609
领,609
通,609
歌,608
尚,607
啥,606
局,602
够,602
春,601
素,600
灯,600
负,595
紧,595
权,595
爹,594
爬,593
员,592
菜,590
偏,587
杯,581
觉,580
藏,579
功,579
核,577
散,577
广,576
兼,573
造,572
室,570
价,569
薄,569
科,567
顿,565
尺,564
官,562
隔,562
抽,561
命,561
碗,560
解,558
鸟,558
甲,557
丝,557
洗,557
何,557
腰,556
喂,556
完,555
沿,555
工,554
鸡,553
敌,552
实,552
示,551
颇,550
民,548
横,548
准,547
情,546
姓,545
调,545
纸,542
理,540
抢,539
咬,536
罢,535
粗,535
布,533
壁,533
异,532
费,527
犯,527
端,526
现,526
脑,525
治,524
退,524
唉,523
集,522
愈,522
苗,522
族,522
波,520
复,516
乐,515
舞,515
滴,512
绿,512
刀,510
穷,510
拖,510
选,503
乃,502
亲,500
产,498
页,498
样,498
挑,497
河,496
冰,495
围,495
甚,494
酸,492
态,491
义,489
似,489
亿,489
凭,488
吓,486
害,486
房,486
吴,485
争,485
观,482
吸,479
闪,478
专,478
整,477
建,476
绕,474
然,473
善,473
哦,473
引,472
唐,472
补,471
超,471
战,469
营,469
雪,468
乘,467
楼,467
课,466
梦,463
木,462
球,462
夹,462
结,461
剂,460
龙,460
株,459
累,459
衣,459
孔,459
采,458
伤,457
哼,455
铜,455
劝,455
乡,453
业,453
钻,452
依,452
网,452
氧,450
屋,449
演,449
乙,448
丢,447
纯,447
切,447
羊,446
猫,444
移,443
板,443
煤,442
刺,441
抗,441
挤,440
软,439
鬼,438
致,437
德,436
蒋,436
救,432
贴,431
湿,429
盘,429
零,428
果,428
计,426
宋,425
汉,424
妻,424
茶,421
钢,421
熟,420
尖,420
伏,418
膜,418
末,417
游,417
青,416
精,415
插,415
痛,411
粮,411
擦,410
雾,409
升,408
曲,407
安,407
孙,406
利,405
阵,404
货,404
桥,403
居,401
碰,401
夏,400
恨,400
保,400
暗,399
具,397
骨,397
怀,397
挖,397
俺,396
浅,394
华,393
肺,393
星,392
床,391
守,391
缺,390
浓,390
证,390
劲,390
环,389
牙,388
列,387
汗,387
盛,387
题,387
哥,385
载,384
露,384
脱,384
键,383
耳,383
香,383
卵,382
透,382
界,381
获,380
罪,376
搭,375
抬,373
冒,373
秋,372
莫,372
泥,372
答,371
齐,371
串,371
罗,371
公,371
虚,370
斗,367
冬,367
源,367
微,367
扶,366
富,365
配,365
恶,365
碳,365
视,364
追,364
松,363
曰,362
尾,362
愿,361
灰,360
略,360
粉,359
轴,359
折,359
绝,359
肥,359
运,358
镇,357
遂,357
敲,356
芽,355
斜,355
味,354
始,354
品,354
捉,353
朵,353
施,352
固,352
饿,352
印,352
骑,351
众,350
托,350
持,349
患,348
墙,348
担,348
蹲,347
驻,347
测,346
叹,346
弯,344
哎,344
洞,344
泡,342
编,342
猛,342
灭,342
礼,341
基,341
失,339
牌,338
铺,338
密,336
丁,335
侧,335
增,333
躲,332
徐,332
瞪,332
轮,331
射,331
呆,331
瓶,330
谓,330
银,330
瘦,328
温,327
伸,327
额,327
氢,326
岛,325
茎,325
终,324
谷,324
鞋,323
滚,323
遭,321
积,320
稀,320
喜,320
碱,319
格,319
哇,319
院,318
趟,318
醒,317
扑,317
苏,316
考,316
阴,316
枚,316
矣,315
案,315
迟,314
铝,314
胸,314
填,313
哟,313
蓝,313
泪,312
练,311
胜,311
世,311
胖,309
俩,309
存,308
混,307
吐,306
目,305
闻,304
氮,303
偷,303
糖,302
校,302
查,301
夫,300
匹,300
盯,299
志,299
磨,299
抹,298
京,298
净,298
沟,298
逼,297
服,297
镜,296
蛋,295
冻,294
秦,294
嗯,293
鼓,293
猴,291
症,291
肾,290
沉,289
继,287
盆,287
暖,287
甜,287
许,286
江,285
嫌,284
贵,284
闭,284
菌,283
胃,282
束,282
噢,282
汤,282
料,282
踏,282
蛇,280
刻,280
逃,280
幼,280
虎,280
登,279
陆,278
寒,278
划,278
灵,278
振,276
番,276
埋,276
扎,276
淡,275
弹,275
决,275
野,274
毒,274
磷,274
付,274
投,274
披,273
腹,273
认,272
逆,271
吊,271
赴,271
扯,270
临,270
距,269
杂,269
挨,269
钠,268
陪,268
扇,268
剩,268
农,267
商,267
柱,267
胡,266
割,266
阿,266
筒,265
严,265
嫂,265
拨,265
遇,265
畜,264
父,264
著,264
搬,264
告,264
晒,264
舌,263
沙,263
特,263
寻,263
纲,263
握,263
壳,262
缝,262
律,262
防,261
壮,261
滑,261
减,261
硅,261
客,260
湖,260
简,259
棒,258
